Generation;Angle Random Rotation;Wind
1301;180;0
1302;180;0
1303;180;0
1304;180;0
1305;180;0
1306;180;0
1307;180;0
1308;180;0
1309;180;0
1310;180;0
1311;180;0
1312;180;0
1313;180;0
1314;180;0
1315;180;0
1316;180;0
1317;180;0
1318;180;0
1319;180;0
1320;180;0
1321;180;0
1322;180;0
1323;180;0
1324;180;0
1325;180;0
1326;180;0
1327;180;0
1328;180;0
1329;180;0
1330;180;0
1331;180;0
1332;180;0
1333;180;0
1334;180;0
1335;180;0
1336;180;0
1337;180;0
1338;180;0
1339;180;0
1340;180;0
1341;180;0
1342;180;0
1343;180;0
1344;180;0
1345;180;0
1346;180;0
1347;180;0
1348;180;0
1349;180;0
1350;180;0
1351;180;0
1352;180;0
1353;180;0
1354;180;0
1355;180;0
1356;180;0
1357;180;0
1358;180;0
1359;180;0
1360;180;0
1361;180;0
