Generation;Best;Mean;Std Deviation;Median
1300;145.3993;14.37786;31.57916;1.53338
1301;128.2992;11.55099;24.83432;1.736249
1302;106.6887;14.64663;27.91369;1.678115
1303;133.4091;14.40694;30.39376;1.699573
1304;187.5931;20.13779;39.22765;1.802631
1305;133.3941;15.99108;29.74548;1.611762
1306;141.7604;13.45797;29.63733;1.683794
1307;157.2174;18.66257;34.90167;1.771129
1308;166.529;15.20186;33.88358;1.863312
1309;131.4772;12.81635;27.18061;1.805337
1310;129.7164;11.47042;24.76641;1.729159
1311;144.8685;12.80061;29.41386;1.644196
1312;172.6531;16.82497;34.30737;1.83457
1313;149.511;10.70765;28.99579;1.459581
1314;130.4257;12.58952;28.82811;1.493074
1315;164.9197;13.19485;29.09416;1.613122
1316;157.063;14.62009;31.03744;1.692495
1317;171.1329;15.89857;32.39234;1.667634
1318;168.2418;19.30724;37.17204;1.809964
1319;165.6548;10.48068;27.56265;1.700163
1320;166.2195;15.47263;32.89999;1.58771
1321;131.2391;12.6699;26.5079;1.673056
1322;184.0226;17.85078;39.10726;1.640135
1323;151.4371;17.74569;35.14548;1.614068
1324;193.5584;15.20184;33.6983;1.70704
1325;127.1254;14.10697;29.96104;1.645642
1326;181.2934;17.67945;35.77523;1.666425
1327;132.0759;14.5086;28.22091;1.632682
1328;102.9089;8.978019;20.19818;1.654902
1329;140.7503;13.0669;28.95519;1.612795
1330;131.4156;16.02083;28.71365;1.821122
1331;138.4763;15.26964;31.32654;1.609121
1332;164.1499;19.3145;34.34557;2.106115
1333;151.8086;16.06839;31.08436;1.704764
1334;115.4019;9.182027;20.05468;1.743663
1335;158.9866;14.09386;31.51604;1.672136
1336;130.0102;12.93187;27.8656;1.649728
1337;148.4766;10.943;27.50241;1.504555
1338;148.6792;12.0816;30.72703;1.599304
1339;151.0227;13.67169;28.62205;1.772639
1340;109.6205;9.961875;22.6014;1.685254
1341;151.2653;13.93305;34.79927;1.535753
1342;145.3664;17.49493;34.07041;1.619752
1343;154.9592;15.80927;34.21413;1.704326
1344;166.1669;18.51168;37.69887;1.741707
1345;152.5713;17.13255;34.77156;1.737606
1346;128.9081;15.64554;33.4591;1.522608
1347;150.3635;20.17542;36.73914;1.80911
1348;159.2073;15.1871;32.54561;1.730578
1349;181.8764;17.02416;35.7632;1.667087
1350;172.5521;13.95513;31.84425;1.652982
1351;172.274;18.86429;34.81327;1.857314
1352;139.668;16.56492;33.57059;1.645969
1353;159.9853;13.42823;30.96531;1.648407
1354;196.4953;23.48453;40.4767;1.937646
1355;171.1555;16.21476;36.49234;1.649879
1356;132.0201;14.16667;28.00218;1.723414
1357;149.2257;15.91577;32.95337;1.593877
1358;105.345;14.21414;27.5525;1.736903
1359;161.586;16.46795;36.92878;1.594531
1360;154.9284;16.8555;32.92952;1.860912
